חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
פולירם תעשיות פלסטיק (POLP),21.03.2023,11.24366,,03.04.2023,4.44%,3/21/2023
מזרחי טפחות (MZTF),21.03.2023,126.79362,,28.03.2023,3.31%,3/21/2023
בזן (ORL),21.03.2023,22.53,,29.03.2023,29.00%,3/21/2023
דיסקונט (DSCT),22.03.2023,15.18175,,30.03.2023,3.10%,3/22/2023
פנינסולה (PEN),22.03.2023,5.25514,,30.03.2023,12.12%,3/22/2023
תדיראן (TDRN),22.03.2023,40.76403,,30.03.2023,1.59%,3/22/2023
ארית תעשיות (ARYT),23.03.2023,9.0,,30.03.2023,5.27%,3/23/2023
סאני תקשורת (SNCM),23.03.2023,13.71798,,02.04.2023,21.06%,3/23/2023
מימון ישיר (DIFI),23.03.2023,712.66864,,02.04.2023,9.23%,3/23/2023
לודן (LUDN),26.03.2023,100.0,,20.04.2023,10.30%,3/26/2023
נתנאל גרופ (NTGR),26.03.2023,,,29.03.2023,-,3/26/2023
קרדן נדלן (KARE),26.03.2023,18.9437,,19.04.2023,5.34%,3/26/2023
סיאון (CION),26.03.2023,0.34,,31.03.2023,13.64%,3/26/2023
ירושלים (JBNK),27.03.2023,19.71135,,16.04.2023,11.75%,3/27/2023
לאומי (LUMI),27.03.2023,45.19769,,04.04.2023,3.91%,3/27/2023
אאורה השקעות (AURA),27.03.2023,3.1191,,04.04.2023,1.65%,3/27/2023
נובולוג (NVLG),27.03.2023,3.32217,,03.04.2023,3.18%,3/27/2023
לכיש (LHIS),27.03.2023,25.0,,04.04.2023,2.25%,3/27/2023
"מקס סטוק בע""מ (MAXO)",27.03.2023,43.1723,,03.04.2023,10.02%,3/27/2023
אי.בי.אי. (IBI),27.03.2023,394.93522,,03.04.2023,8.93%,3/27/2023
בינלאומי (FIBI),28.03.2023,267.1184,,04.04.2023,6.02%,3/28/2023
לפידות (LAPD),28.03.2023,16.15043,,04.04.2023,2.65%,3/28/2023
ברקת קפיטל (BRKT),28.03.2023,9.25616,,04.04.2023,7.17%,3/28/2023
חילן (HLAN),28.03.2023,125.0,,20.04.2023,1.51%,3/28/2023
אי.טי.ג'י.איי (ETGA),28.03.2023,17.87345,,09.04.2023,4.85%,3/28/2023
אוברסיז קומרס (OVRS),28.03.2023,1.8178,,17.04.2023,5.21%,3/28/2023
מטריקס (MTRX),29.03.2023,59.0,,16.04.2023,7.12%,3/29/2023
אלמוגים החזקות (ALMA),29.03.2023,53.57133,,09.04.2023,10.35%,3/29/2023
אורון אחזקות והשקעות (ORON),29.03.2023,15.35505,,17.04.2023,2.57%,3/29/2023
הייפר גלובל (HIPR),30.03.2023,19.0,,17.04.2023,2.88%,3/30/2023
וואן טכנולוגיות (ONE),30.03.2023,40.54974,,13.04.2023,3.96%,3/30/2023
הפניקס (PHOE),30.03.2023,70.201,,10.04.2023,3.76%,3/30/2023
אינרום תעשיות בנייה (INRM),30.03.2023,14.9948,,19.04.2023,2.63%,3/30/2023
מלם תים (MLTM),30.03.2023,50.0,,13.04.2023,3.73%,3/30/2023
קבוצת אשטרום בעמ (ASHG),30.03.2023,197.576,,13.04.2023,5.83%,3/30/2023
אלטשולר שחם פיננסים (ALTF),30.03.2023,16.21461,,16.04.2023,22.06%,3/30/2023
אילקס מדיקל (ILX),30.03.2023,191.653,,10.04.2023,2.31%,3/30/2023
רם-און השקעות והחזקות (RMN),30.03.2023,16.4927,,17.04.2023,3.16%,3/30/2023
שפיר הנדסה (SPEN),30.03.2023,19.59421,,11.04.2023,0.75%,3/30/2023
אלמור חשמל התקנות ושירותים (ELMR),02.04.2023,20.0,,20.04.2023,4.25%,4/2/2023
אלקטרה צריכה (ECP),02.04.2023,162.138,,16.04.2023,3.09%,4/2/2023
איידיאיי ביטוח (IDIN),02.04.2023,272.57402,,16.04.2023,3.09%,4/2/2023
"תעשיות מספנות ישראל בע""מ (ISHI)",02.04.2023,140.0,,16.04.2023,1.85%,4/2/2023
דנאל (DANE),02.04.2023,200.0,,20.04.2023,6.46%,4/2/2023
אפריקה מגורים (AFRE),02.04.2023,142.36523,,20.04.2023,4.03%,4/2/2023
ברימאג-ס (BRMG),02.04.2023,74.17289,,20.04.2023,5.56%,4/2/2023
יוחננוף (YHNF),02.04.2023,414.0,,16.04.2023,2.50%,4/2/2023
אראסאל (RSEL),02.04.2023,38.07294,,24.04.2023,8.11%,4/2/2023
מגדלי הים התיכון (MDTR),03.04.2023,39.89457,,18.04.2023,5.62%,4/3/2023
א.מ.ת (EMCO),03.04.2023,7.0,,18.04.2023,7.40%,4/3/2023
אלקטרה (ELTR),03.04.2023,1042.3197,,02.05.2023,1.39%,4/3/2023
אקרשטיין (ACKR),03.04.2023,13.91256,,17.04.2023,3.27%,4/3/2023
רימוני (RIMO),03.04.2023,45.0,,23.04.2023,5.78%,4/3/2023
The Gold Bond (GOLD),04.04.2023,143.0,,20.04.2023,1.54%,4/4/2023
תורפז (TRPZ),04.04.2023,18.0,,18.04.2023,1.42%,4/4/2023
דן מלונות (DANH),04.04.2023,20.0,,19.04.2023,1.75%,4/4/2023
פרידנזון (FRDN),04.04.2023,122.5632,,19.04.2023,6.75%,4/4/2023
רוטשטיין (ROTS),04.04.2023,77.85301,,19.04.2023,7.92%,4/4/2023
אלקו (ELCO),04.04.2023,184.294,,17.04.2023,2.03%,4/4/2023
ויליפוד אינטרנש (WILC),04.04.2023,216.0,,18.04.2023,8.80%,4/4/2023
עילדב-ש (ELDAV),04.04.2023,9.78195,,18.04.2023,7.88%,4/4/2023
אופל בלאנס (OPAL),04.04.2023,3.44149,,19.04.2023,7.13%,4/4/2023
רימון (RMON),04.04.2023,71.44859,,20.04.2023,2.66%,4/4/2023
ג'י וואן (GOSS),04.04.2023,11.78926,,18.04.2023,10.23%,4/4/2023
תמר פטרוליום (TMRP),04.04.2023,0.113,,20.04.2023,11.38%,4/4/2023
סנו (SANO1),04.04.2023,350.0,,18.04.2023,1.74%,4/4/2023
אסאר אקורד (SRAC),09.04.2023,37.20529,,18.04.2023,6.00%,4/9/2023
שנפ (SHNP),09.04.2023,39.3859,,18.04.2023,5.87%,4/9/2023
ניו-מד אנרג יהש (NWMDp),09.04.2023,0.05112,,20.04.2023,6.18%,4/9/2023
רפק (RPAC),09.04.2023,22.0,,23.04.2023,0.81%,4/9/2023
עשות (ASHO),09.04.2023,42.4225,,19.04.2023,3.77%,4/9/2023
ריטיילורס (RTLS),09.04.2023,217.5839,,23.04.2023,3.11%,4/9/2023
סאפיינס (SPNS),10.04.2023,0.25,,24.04.2023,4.48%,4/10/2023
אנליסט (ANLT),10.04.2023,45.0,,27.04.2023,1.86%,4/10/2023
רמי לוי (RMLI),10.04.2023,326.66494,,20.04.2023,5.86%,4/10/2023
ראלקו (RLCO),10.04.2023,306.17834,,20.04.2023,8.85%,4/10/2023
מג'יק (MGIC),10.04.2023,0.3,,20.04.2023,4.36%,4/10/2023
מנורה מב החז (MMHD),10.04.2023,161.59524,,20.04.2023,3.20%,4/10/2023
פיבי (FIBIH),10.04.2023,363.86571,,20.04.2023,8.74%,4/10/2023
קנון הולדינגס (KEN),10.04.2023,2.79,,19.04.2023,42.33%,4/10/2023
רבל (RVL),10.04.2023,23.42001,,27.04.2023,4.87%,4/10/2023
טיב טעם (TTAM),10.04.2023,4.83628,,20.04.2023,2.68%,4/10/2023
רציו אנרגיות (RATIp),10.04.2023,0.03114,,24.04.2023,7.05%,4/10/2023
קרסו מוטורס (CRSM),13.04.2023,142.20507,,20.04.2023,17.17%,4/13/2023
מנדלסון תשתיות ותעשיות (MNIN),13.04.2023,65.6232,,30.04.2023,7.51%,4/13/2023
סיאי (CISY),13.04.2023,20.0,,20.04.2023,1.97%,4/13/2023
כפרית (KAFR),13.04.2023,16.75972,,24.04.2023,3.80%,4/13/2023
או.אר.טי (ORTC),13.04.2023,50.0,,27.04.2023,5.13%,4/13/2023
עמיר שיווק (AMRK),13.04.2023,100.0,,04.05.2023,4.27%,4/13/2023
קווליטאו (QLTU),13.04.2023,227.51469,,24.04.2023,7.99%,4/13/2023
פלרם (PLRM),13.04.2023,155.48782,,20.04.2023,5.80%,4/13/2023
מיחשוב ישר (CMDR),13.04.2023,315.0,,27.04.2023,5.45%,4/13/2023
תיגבור (TIGBUR),13.04.2023,30.66779,,23.04.2023,4.03%,4/13/2023
פוקס-ויזל (FOX),16.04.2023,635.77597,,30.04.2023,3.89%,4/16/2023
קיסטון ריט (KSTN),16.04.2023,6.55748,,23.04.2023,2.47%,4/16/2023
בריל (BRIL),16.04.2023,250.0,,10.05.2023,12.85%,4/16/2023
שירותי בנקאות אוטומטיים (SHVA),16.04.2023,55.0,,24.04.2023,4.26%,4/16/2023
אטראו שוקי הון (ATRY),16.04.2023,135.83708,,24.04.2023,13.23%,4/16/2023
דמרי (DIMRI),17.04.2023,267.26718,,02.05.2023,2.43%,4/17/2023
אלביט מערכות (ESLT),18.04.2023,0.5,,01.05.2023,1.13%,4/18/2023
קשרי תעופה (AVIA),18.04.2023,0.47015,,01.05.2023,12.12%,4/18/2023
אייקון גרופ (ICON),18.04.2023,17.69524,,02.05.2023,3.02%,4/18/2023
פרקומט (PRKM),18.04.2023,4.4045,,27.04.2023,0.54%,4/18/2023
פמס (FBRT),20.04.2023,163.133,,11.05.2023,1.50%,4/20/2023
טופ מערכות-ס (TOPS),23.04.2023,23.59869,,08.05.2023,2.35%,4/23/2023
יצוא (EXPO),27.04.2023,79.7126,,11.05.2023,3.17%,4/27/2023
אמיליה פיתוח (EMDV),27.04.2023,65.37168,,03.05.2023,2.96%,4/27/2023
פלסטו-קרגל (PLCR),30.04.2023,,,15.05.2023,-,4/30/2023
דלק רכב (DLEA),01.05.2023,100.0,,22.05.2023,19.70%,5/1/2023
מגדל ביטוח (MGDL),01.05.2023,3.03631,,08.05.2023,0.78%,5/1/2023
בירמן (BIRM),02.05.2023,45.45545,,10.05.2023,24.12%,5/2/2023
תיקון עולם (TKUN),02.05.2023,,,14.05.2023,-,5/2/2023
שרין טכנו (SARN),02.05.2023,0.01334,,12.05.2023,9.16%,5/2/2023
דור אלון (DRAL),02.05.2023,631.84493,,09.05.2023,8.34%,5/2/2023
מילניום פוד יהש (MIFT),02.05.2023,,,14.05.2023,-,5/2/2023
בזק (BEZQ),04.05.2023,8.89211,,11.05.2023,3.78%,5/4/2023
מצלאוי (MSLA),07.05.2023,54.26184,,21.05.2023,4.97%,5/7/2023
אמנת (AMAN),09.05.2023,30.278,,25.05.2023,1.60%,5/9/2023
מיטב השקעות (MTAV),11.05.2023,,,22.05.2023,-,5/11/2023
מניף שירותים פיננסיים (MNIF),21.05.2023,15.7093,,30.05.2023,7.26%,5/21/2023
לפידות חלץ יהש (LPHLp),21.05.2023,9.27004,,28.05.2023,6.37%,5/21/2023
הייפר גלובל (HIPR),22.05.2023,8.0,,05.06.2023,3.13%,5/22/2023
קרור (KRUR),22.05.2023,79.50684,,31.05.2023,4.15%,5/22/2023
ניו-מד אנרג יהש (NWMDp),22.05.2023,0.0426,,15.06.2023,5.94%,5/22/2023
מטריקס (MTRX),22.05.2023,71.0,,05.06.2023,6.20%,5/22/2023
אורמת טכנולוגיות (ORA),23.05.2023,0.12,,06.06.2023,0.57%,5/23/2023
דלתא מותגים (DLTI),23.05.2023,30.108,,01.06.2023,4.26%,5/23/2023
אוברסיז קומרס (OVRS),24.05.2023,3.99916,,14.06.2023,4.39%,5/24/2023
בינלאומי (FIBI),24.05.2023,219.2763,,01.06.2023,6.19%,5/24/2023
דלתא (DELG),24.05.2023,0.156,,06.06.2023,2.39%,5/24/2023
פולירם תעשיות פלסטיק (POLP),24.05.2023,9.36971,,05.06.2023,4.20%,5/24/2023
מזרחי טפחות (MZTF),24.05.2023,159.35015,,01.06.2023,4.27%,5/24/2023
מיטרוניקס (MTRN),29.05.2023,40.15599,,25.06.2023,2.23%,5/29/2023
דניה סיבוס (DNYA),29.05.2023,128.15512,,20.06.2023,5.23%,5/29/2023
דיסקונט (DSCT),29.05.2023,30.77579,,06.06.2023,3.69%,5/29/2023
ישראמקו נגב (ISRAp),30.05.2023,7.02035,,06.06.2023,-,5/30/2023
דנאל (DANE),30.05.2023,250.0,,21.06.2023,6.38%,5/30/2023
הולמס פלייס (HLMS),30.05.2023,43.9156,,08.06.2023,8.68%,5/30/2023
אנרג'יקס (ENRG),30.05.2023,7.0,,06.06.2023,3.57%,5/30/2023
מימון ישיר (DIFI),31.05.2023,799.97457,,07.06.2023,8.18%,5/31/2023
איי.סי.אל (ICL),31.05.2023,42.00072,,14.06.2023,12.83%,5/31/2023
פנינסולה (PEN),31.05.2023,5.24596,,08.06.2023,10.83%,5/31/2023
וואן טכנולוגיות (ONE),31.05.2023,40.54974,,14.06.2023,3.40%,5/31/2023
פועלים (POLI),01.06.2023,60.04783,,14.06.2023,5.65%,6/1/2023
אסאר אקורד (SRAC),01.06.2023,37.48344,,12.06.2023,4.97%,6/1/2023
לפידות (LAPD),01.06.2023,16.15325,,13.06.2023,2.10%,6/1/2023
א.מ.ת (EMCO),01.06.2023,8.0,,15.06.2023,2.58%,6/1/2023
סיאון (CION),01.06.2023,0.34,,15.06.2023,13.61%,6/1/2023
אופל בלאנס (OPAL),01.06.2023,3.1547,,11.06.2023,7.26%,6/1/2023
רימוני (RIMO),04.06.2023,75.0,,29.06.2023,4.92%,6/4/2023
אלטשולר שחם פיננסים (ALTF),04.06.2023,14.68785,,13.06.2023,9.97%,6/4/2023
אינרום תעשיות בנייה (INRM),04.06.2023,7.05296,,14.06.2023,2.72%,6/4/2023
שנפ (SHNP),04.06.2023,7.87718,,08.06.2023,6.60%,6/4/2023
דיפלומט (DIPL),04.06.2023,73.07693,,11.06.2023,2.15%,6/4/2023
פיבי (FIBIH),05.06.2023,297.5801,,13.06.2023,7.96%,6/5/2023
פרשקובסקי (PRSK),05.06.2023,50.0,,13.06.2023,1.88%,6/5/2023
מלם תים (MLTM),05.06.2023,100.0,,14.06.2023,4.06%,6/5/2023
פורמולה מערכות (FORTY),05.06.2023,230.0,,22.06.2023,1.77%,6/5/2023
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),05.06.2023,20.17763,,14.06.2023,7.90%,6/5/2023
דמרי (DIMRI),06.06.2023,64.14412,,29.06.2023,2.54%,6/6/2023
פרידנזון (FRDN),06.06.2023,91.9224,,15.06.2023,7.27%,6/6/2023
אפריקה מגורים (AFRE),06.06.2023,142.36523,,15.06.2023,3.62%,6/6/2023
ראלקו (RLCO),06.06.2023,183.707,,13.06.2023,13.08%,6/6/2023
כהן פיתוח (CDEV),07.06.2023,1.36705,,15.06.2023,7.65%,6/7/2023
לאומי (LUMI),07.06.2023,19.09948,,15.06.2023,4.25%,6/7/2023
ארד (ARD),07.06.2023,0.465,,22.06.2023,3.19%,6/7/2023
טיב טעם (TTAM),08.06.2023,2.88977,,18.06.2023,2.75%,6/8/2023
איביאי חיתום (IBIU),08.06.2023,,,22.06.2023,-,6/8/2023
רמי לוי (RMLI),08.06.2023,370.22027,,15.06.2023,5.14%,6/8/2023
ג'י וואן (GOSS),08.06.2023,5.39296,,15.06.2023,9.07%,6/8/2023
צור (ZUR),08.06.2023,7.68051,,22.06.2023,1.53%,6/8/2023
יוניטרוניקס (UNIT),08.06.2023,72.41613,,20.06.2023,7.64%,6/8/2023
אי.טי.ג'י.איי (ETGA),08.06.2023,17.76646,,18.06.2023,5.17%,6/8/2023
מיחשוב ישר (CMDR),08.06.2023,320.0,,20.06.2023,4.47%,6/8/2023
אי.בי.אי. (IBI),08.06.2023,276.45465,,15.06.2023,8.92%,6/8/2023
אנרג'יאן (ENOG),11.06.2023,0.3,,30.06.2023,8.38%,6/11/2023
אטראו שוקי הון (ATRY),11.06.2023,115.46152,,21.06.2023,9.87%,6/11/2023
קופיקס גרופ בעמ (CFX),12.06.2023,,,22.06.2023,-,6/12/2023
פייטון (PAYT),12.06.2023,0.785,,28.06.2023,5.74%,6/12/2023
המשביר 365 (MSBI),12.06.2023,5.147,,19.06.2023,5.32%,6/12/2023
ברנד (BRND),12.06.2023,2.93925,,03.07.2023,2.79%,6/12/2023
תיגבור (TIGBUR),13.06.2023,38.07037,,25.06.2023,3.55%,6/13/2023
דלק קבוצה (DLEKG),13.06.2023,1087.44,,27.06.2023,8.07%,6/13/2023
י.ד. מור השקעות (MRIN),13.06.2023,14.02724,,21.06.2023,4.05%,6/13/2023
כפרית (KAFR),15.06.2023,16.75972,,29.06.2023,3.98%,6/15/2023
גלוברנדס (GLRS),18.06.2023,2603.7428,,26.06.2023,10.44%,6/18/2023
טלסיס (TLSY),19.06.2023,308.21651,,04.07.2023,4.05%,6/19/2023
קיסטון ריט (KSTN),25.06.2023,6.55748,,03.07.2023,3.06%,6/25/2023
אלביט מערכות (ESLT),26.06.2023,0.5,,10.07.2023,0.95%,6/26/2023
"מיכמן בס""ד (MCMN)",27.06.2023,406.64597,,04.07.2023,2.16%,6/27/2023
דלק רכב (DLEA),03.07.2023,100.0,,26.07.2023,14.68%,7/3/2023
מולטי ריטייל (MRG),05.07.2023,,,16.07.2023,-,7/5/2023
תדאה (TEDE),12.07.2023,54.036,,19.07.2023,18.99%,7/12/2023
איביאי חיתום (IBIU),13.08.2023,15.51257,,22.08.2023,-,8/13/2023
אוברסיז קומרס (OVRS),15.08.2023,4.09005,,06.09.2023,3.87%,8/15/2023
דלתא מותגים (DLTI),15.08.2023,40.216,,23.08.2023,4.46%,8/15/2023
סאפיינס (SPNS),16.08.2023,0.26,,30.08.2023,1.67%,8/16/2023
אורמת טכנולוגיות (ORA),16.08.2023,0.12,,30.08.2023,0.62%,8/16/2023
פיימנט (PMNT),17.08.2023,8.1253,,24.08.2023,4.13%,8/17/2023
אביב בניה (AVIV),17.08.2023,12.83167,,05.09.2023,0.94%,8/17/2023
דלתא (DELG),17.08.2023,0.272,,30.08.2023,2.49%,8/17/2023
אודיוקודס (AUDC),17.08.2023,0.18,,31.08.2023,3.30%,8/17/2023
סאני תקשורת (SNCM),20.08.2023,27.6201,,31.08.2023,33.36%,8/20/2023
מטריקס (MTRX),20.08.2023,69.0,,03.09.2023,3.31%,8/20/2023
אנרג'יקס (ENRG),21.08.2023,7.0,,29.08.2023,3.49%,8/21/2023
מניף שירותים פיננסיים (MNIF),21.08.2023,16.53612,,29.08.2023,7.01%,8/21/2023
תדיראן (TDRN),22.08.2023,295.83039,,29.08.2023,1.23%,8/22/2023
פנינסולה (PEN),22.08.2023,4.0,,30.08.2023,11.37%,8/22/2023
מזרחי טפחות (MZTF),22.08.2023,190.10133,,29.08.2023,4.69%,8/22/2023
בינלאומי (FIBI),23.08.2023,219.2763,,31.08.2023,5.96%,8/23/2023
דיסקונט (DSCT),23.08.2023,28.78713,,03.09.2023,4.55%,8/23/2023
פועלים (POLI),23.08.2023,57.50534,,06.09.2023,5.99%,8/23/2023
אינרום תעשיות בנייה (INRM),23.08.2023,5.53437,,06.09.2023,2.73%,8/23/2023
ג'י וואן (GOSS),23.08.2023,11.28759,,30.08.2023,8.63%,8/23/2023
נאוי (NAWI),24.08.2023,112.48207,,01.09.2023,6.51%,8/24/2023
ישראכרט (ISCD),24.08.2023,21.11397,,03.09.2023,2.17%,8/24/2023
הייפר גלובל (HIPR),24.08.2023,5.4,,11.09.2023,3.83%,8/24/2023
פז נפט (PAZ),24.08.2023,,,30.08.2023,-,8/24/2023
רמי לוי (RMLI),24.08.2023,515.40468,,03.09.2023,6.85%,8/24/2023
דניה סיבוס (DNYA),24.08.2023,127.83922,,21.09.2023,4.87%,8/24/2023
לכיש (LHIS),27.08.2023,28.0,,11.09.2023,3.03%,8/27/2023
טיב טעם (TTAM),27.08.2023,4.36465,,07.09.2023,2.64%,8/27/2023
גרופ 107 (G107),27.08.2023,,,06.09.2023,-,8/27/2023
דמרי (DIMRI),27.08.2023,64.14412,,07.09.2023,1.63%,8/27/2023
אי.טי.ג'י.איי (ETGA),27.08.2023,15.54565,,04.09.2023,5.94%,8/27/2023
מיטב השקעות (MTAV),27.08.2023,13.0,,11.09.2023,-,8/27/2023
גרופ 107 (G107),27.08.2023,,,06.09.2023,-,8/27/2023
בזן (ORL),27.08.2023,0.01576,,07.09.2023,-,8/27/2023
איידיאיי ביטוח (IDIN),28.08.2023,272.57402,,11.09.2023,6.49%,8/28/2023
עשות (ASHO),28.08.2023,42.4225,,04.09.2023,5.91%,8/28/2023
שרין טכנו (SARN),28.08.2023,0.003394,,14.09.2023,6.71%,8/28/2023
לאומי (LUMI),28.08.2023,48.05453,,07.09.2023,4.45%,8/28/2023
אופל בלאנס (OPAL),29.08.2023,3.0591,,05.09.2023,8.23%,8/29/2023
ירושלים (JBNK),29.08.2023,30.63059,,11.09.2023,7.60%,8/29/2023
ויקטורי (VCTR),29.08.2023,104.44592,,21.09.2023,5.74%,8/29/2023
חמת (HAMAT),29.08.2023,27.27181,,07.09.2023,2.04%,8/29/2023
יוניטרוניקס (UNIT),30.08.2023,205.60376,,21.09.2023,9.21%,8/30/2023
מג'יק (MGIC),30.08.2023,0.327,,13.09.2023,5.27%,8/30/2023
איי.סי.אל (ICL),30.08.2023,24.07037,,13.09.2023,8.62%,8/30/2023
נתנאל גרופ (NTGR),30.08.2023,88.57,,06.09.2023,-,8/30/2023
אלטשולר שחם פיננסים (ALTF),30.08.2023,11.64505,,10.09.2023,10.13%,8/30/2023
ניו-מד אנרג יהש (NWMDp),30.08.2023,0.0426,,14.09.2023,6.16%,8/30/2023
אפריקה מגורים (AFRE),31.08.2023,174.00196,,12.09.2023,3.22%,8/31/2023
וואן טכנולוגיות (ONE),31.08.2023,40.54974,,14.09.2023,3.29%,8/31/2023
הפניקס (PHOE),31.08.2023,47.311,,07.09.2023,3.03%,8/31/2023
רציו אנרגיות (RATIp),31.08.2023,0.02669,,14.09.2023,7.00%,8/31/2023
י.ד. מור השקעות (MRIN),31.08.2023,37.46839,,10.09.2023,9.68%,8/31/2023
פרידנזון (FRDN),31.08.2023,183.84,,11.09.2023,10.42%,8/31/2023
פולירם תעשיות פלסטיק (POLP),03.09.2023,9.36971,,12.09.2023,3.99%,9/3/2023
שור-טק יהש (STEC),03.09.2023,246.834,,14.09.2023,-,9/3/2023
סיאון (CION),03.09.2023,0.34,,15.09.2023,12.90%,9/3/2023
הולמס פלייס (HLMS),03.09.2023,10.925,,28.09.2023,10.05%,9/3/2023
לסיכו (LSCO),03.09.2023,7.85185,,20.09.2023,2.87%,9/3/2023
תמר פטרוליום (TMRP),03.09.2023,0.113,,14.09.2023,7.02%,9/3/2023
פרשקובסקי (PRSK),03.09.2023,25.0,,10.09.2023,1.45%,9/3/2023
רימוני (RIMO),03.09.2023,60.0,,04.10.2023,4.49%,9/3/2023
לפידות (LAPD),03.09.2023,32.30649,,12.09.2023,1.61%,9/3/2023
דיפלומט (DIPL),03.09.2023,72.89396,,11.09.2023,4.62%,9/3/2023
מימון ישיר (DIFI),03.09.2023,604.12386,,11.09.2023,6.78%,9/3/2023
פיבי (FIBIH),03.09.2023,297.5801,,11.09.2023,7.70%,9/3/2023
אלקטרה (ELTR),04.09.2023,1188.2296,,02.10.2023,1.53%,9/4/2023
קרסו מוטורס (CRSM),04.09.2023,109.36164,,12.09.2023,14.91%,9/4/2023
איירטאצ' סולאר (ARTS),04.09.2023,,,20.09.2023,-,9/4/2023
בית שמש אחזקות (BSEN),05.09.2023,2033.907,,12.09.2023,16.74%,9/5/2023
דלק קבוצה (DLEKG),05.09.2023,1080.69,,19.09.2023,8.30%,9/5/2023
חילן (HLAN),05.09.2023,125.0,,21.09.2023,1.30%,9/5/2023
אי.בי.אי. (IBI),05.09.2023,142.17668,,12.09.2023,7.88%,9/5/2023
אאורה השקעות (AURA),05.09.2023,3.81764,,12.09.2023,0.92%,9/5/2023
ארן (ARAN),05.09.2023,122.80885,,12.09.2023,6.09%,9/5/2023
רם-און השקעות והחזקות (RMN),06.09.2023,15.803,,20.09.2023,3.03%,9/6/2023
מנורה מב החז (MMHD),06.09.2023,121.19643,,14.09.2023,4.49%,9/6/2023
כפרית (KAFR),06.09.2023,16.75972,,28.09.2023,3.92%,9/6/2023
שנפ (SHNP),07.09.2023,15.75436,,14.09.2023,7.52%,9/7/2023
א.מ.ת (EMCO),07.09.2023,5.6,,21.09.2023,3.32%,9/7/2023
ישרוטל -ס (ISRO),07.09.2023,92.7,,21.09.2023,1.30%,9/7/2023
